
% time 0.2000
% report fiber
         1         2    4.0000    0.0705   -0.2186   -0.1002   -0.8045    0.5940   -0.0003    3.9977    0.9938         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1264   -0.1094   -0.0887    0.8066   -0.5911    0.0069    3.9993    0.9991         0
         1         2    4.0000    0.1721   -0.2174   -0.0878   -0.8067    0.5909   -0.0085    3.9967    0.9920         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2741   -0.2066   -0.1004    0.8070   -0.5905   -0.0006    4.0000    1.0000         0
         1         2    4.0000    0.1014   -0.3607   -0.0999   -0.8064    0.5914    0.0002    4.0000    1.0000         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3138   -0.1709   -0.0001    0.7565   -0.6529    0.0387    4.0000    1.0000         0
         1         2    4.0000    0.0824   -0.3857   -0.0013   -0.7557    0.6543   -0.0271    4.0000    1.0000         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2948   -0.0875   -0.0479    0.7707   -0.6364    0.0336    3.9999    0.9998         0
         1         2    4.0000    0.1335   -0.3167   -0.0090   -0.7717    0.6347   -0.0390    4.0000    1.0000         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2465   -0.1491   -0.0268    0.8243   -0.5643   -0.0460    3.9999    0.9998         0
         1         2    4.0000    0.2331   -0.3711   -0.0054   -0.8239    0.5651    0.0423    3.9999    0.9998         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2568   -0.2434   -0.0029    0.8115   -0.5821   -0.0514    4.0000    0.9999         0
         1         2    4.0000    0.2430   -0.4878    0.0000   -0.8121    0.5811    0.0531    3.9997    0.9995         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2731   -0.2110   -0.0068    0.8090   -0.5851   -0.0566    4.0000    0.9998         0
         1         2    4.0000    0.2573   -0.4798   -0.0128   -0.8087    0.5850    0.0613    3.9999    0.9997         0
% end

% time 14.2000
