
% time 0.2000
% report fiber
         1         2    4.0000   -0.2861    1.9482    0.0693   -0.7379    0.6744    0.0247    3.9999    0.9998         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9404    1.7722    0.0844    0.9145   -0.4043    0.0144    3.9999    0.9998         0
         1         2    4.0000   -0.2772    1.7964    0.0658   -0.8103    0.5854    0.0273    3.9999    0.9998         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8749    1.7985    0.0999    0.9168   -0.3992   -0.0005    3.9999    0.9998         0
         1         2    4.0000   -0.3118    1.6489    0.0506   -0.9144    0.4045    0.0145    3.9999    0.9998         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9061    1.8189    0.0880    0.9168   -0.3993    0.0063    4.0000    1.0000         0
         1         2    4.0000   -0.3300    1.6354    0.0160   -0.9217    0.3874   -0.0165    3.9997    0.9995         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9645    1.9056    0.0949    0.8978   -0.4405    0.0003    3.9999    0.9999         0
         1         2    4.0000   -0.3783    1.6750    0.0173   -0.8971    0.4418   -0.0017    3.9996    0.9992         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9954    2.0508    0.0859    0.9262   -0.3767   -0.0145    3.9999    0.9997         0
         1         2    4.0000   -0.3342    1.8341   -0.0111   -0.9198    0.3914    0.0274    4.0000    1.0000         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9690    1.8894    0.0617    0.9045   -0.4251   -0.0329    3.9998    0.9997         0
         1         2    4.0000   -0.2857    1.6302   -0.0403   -0.9014    0.4315    0.0357    3.9999    0.9999         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9826    1.9850    0.0255    0.9194   -0.3933    0.0096    4.0000    1.0000         0
         1         2    4.0000   -0.2593    1.7314   -0.0432   -0.9199    0.3917   -0.0184    3.9995    0.9990         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0850    2.0927   -0.0240    0.9306   -0.3661    0.0032    3.9999    0.9999         0
         1         2    4.0000   -0.3106    1.8346   -0.1041   -0.9257    0.3783   -0.0042    3.9997    0.9994         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1919    2.1528   -0.0236    0.9416   -0.3367   -0.0020    4.0000    0.9999         0
         1         2    4.0000   -0.3732    1.9205   -0.1002   -0.9404    0.3402    0.0008    3.9997    0.9994         0
% end

% time 15.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
