
% time 0.2000
% report fiber
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6253    0.1770   -0.0904    0.3110   -0.9502    0.0195    3.9996    0.9993         0
         1         2    2.0000    0.1614   -2.3951    0.0526   -0.3362    0.9406   -0.0472    2.0000    1.0000         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6791    0.1832   -0.0996    0.2309   -0.9730   -0.0001    3.9998    0.9996         0
         1         2    2.0000   -0.0131   -2.4465   -0.0671   -0.3211    0.9469    0.0146    2.0000    1.0000         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6551    0.2684   -0.0989    0.2434   -0.9699    0.0003    4.0000    0.9999         0
         1         2    2.0000   -0.0511   -2.3919   -0.0251   -0.2539    0.9660   -0.0482    2.0000    1.0000         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7912    0.1189   -0.0943    0.2160   -0.9764    0.0062    4.0000    0.9999         0
         1         2    2.0000   -0.1742   -2.5417    0.0298   -0.3181    0.9454   -0.0717    2.0000    1.0000         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8201    0.1113   -0.1000    0.3042   -0.9526    0.0014    3.9999    0.9999         0
         1         2    2.0000   -0.0285   -2.5057   -0.0687   -0.3211    0.9463    0.0377    2.0000    1.0000         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8677    0.1109    0.0151    0.4160   -0.9091    0.0217    3.9999    0.9999         0
         1         2    2.0000    0.2328   -2.3945    0.0995   -0.4541    0.8909   -0.0020    2.0000    1.0000         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7365    0.1596    0.0377    0.3686   -0.9294   -0.0190    4.0000    0.9999         0
         1         2    2.0000    0.2613   -2.3917    0.0272   -0.4179    0.9083    0.0190    2.0000    1.0000         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8138    0.0864    0.0724    0.4166   -0.9088   -0.0227    3.9999    0.9998         0
         1         2    2.0000    0.2354   -2.4378    0.0005   -0.3849    0.9192    0.0831    2.0000    1.0000         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8530    0.2201    0.0919    0.4284   -0.9035   -0.0106    3.9999    0.9999         0
         1         2    2.0000    0.2530   -2.2808    0.0545   -0.4256    0.9031    0.0582    2.0000    1.0000         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6752    0.3011    0.0632    0.3007   -0.9535   -0.0207    3.9999    0.9999         0
